LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
360000.0,2,1,2,30,-2,-2,-2,-2,-2,-2,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
390000.0,1,2,2,29,0,0,0,0,0,0,65354.0,70758.0,70791.0,66495.0,52055.0,68567.0,20000.0,14000.0,10000.0,12000.0,30000.0,13000.0,0
230000.0,2,2,2,24,0,0,2,0,0,0,64929.0,65093.0,59349.0,56418.0,52950.0,49439.0,6000.0,0.0,3000.0,2000.0,1500.0,3000.0,0
50000.0,2,1,2,25,1,3,2,2,2,2,27796.0,27069.0,27324.0,29561.0,28952.0,31307.0,0.0,1000.0,3000.0,0.0,3000.0,0.0,1
20000.0,2,2,1,46,1,2,2,2,0,0,10935.0,11456.0,13169.0,13656.0,14430.0,14200.0,1000.0,1900.0,1000.0,1000.0,0.0,8119.0,1
130000.0,2,3,2,23,-1,0,0,0,0,0,5719.0,15578.0,19887.0,11659.0,11735.0,8541.0,10000.0,5000.0,2000.0,2000.0,2000.0,1000.0,0
20000.0,2,1,2,24,2,2,0,0,0,2,14750.0,14229.0,16438.0,16770.0,17995.0,17556.0,0.0,2773.0,605.0,1500.0,0.0,1456.0,1
100000.0,1,2,2,25,-1,-1,-1,-1,-1,-1,416.0,416.0,0.0,416.0,416.0,1850.0,416.0,0.0,832.0,416.0,1850.0,0.0,0
70000.0,2,2,2,23,2,2,2,0,0,2,14871.0,17461.0,16892.0,18013.0,19315.0,19859.0,2850.0,0.0,1400.0,1600.0,1000.0,0.0,1
260000.0,1,3,1,48,0,0,0,0,-1,0,200716.0,203751.0,205530.0,-170000.0,171696.0,174151.0,8812.0,9158.0,0.0,497000.0,10000.0,7000.0,0
50000.0,1,1,2,25,0,0,0,-1,-1,-2,13886.0,14958.0,15726.0,1148.0,0.0,0.0,3000.0,5000.0,1148.0,0.0,0.0,0.0,0
100000.0,1,1,2,26,0,0,0,-1,0,0,1847.0,3614.0,3252.0,42058.0,33171.0,18379.0,2000.0,2000.0,42058.0,500.0,2000.0,2000.0,0
130000.0,2,3,1,36,0,0,2,2,2,2,23997.0,26733.0,26942.0,26210.0,27982.0,27383.0,3440.0,941.0,0.0,2197.0,0.0,910.0,1
180000.0,2,2,2,33,-1,-1,-1,-1,-1,-1,4160.0,7817.0,2358.0,18572.0,11560.0,4298.0,7817.0,2358.0,18577.0,11560.0,4298.0,12330.0,0
